Last position of orbit,   A
 0.08000659  0.          2.75695038  1.         0.203295
 -7.86406038e-04   0.00000000e+00   2.44241162e+00   1.00000000e+00 0.203296
-0.08000937  0.          3.52627468  1.         0.203297
  7.89030344e-04   0.00000000e+00   3.84079103e+00   1.00000000e+00 0.203298
 0.0800122   0.          2.75687052  1.         0.203299
 -7.91581725e-04   0.00000000e+00   2.44237716e+00   1.00000000e+00 0.2033
-0.080015   0.         3.5263551  1.        0.203301
  7.94194676e-04   0.00000000e+00   3.84082598e+00   1.00000000e+00 0.203302
 0.08001779  0.          2.75678994  1.         0.203303
 -7.96891559e-04   0.00000000e+00   2.44234176e+00   1.00000000e+00 0.203304
-0.08002063  0.          3.52643596  1.         0.203305
  7.99472899e-04   0.00000000e+00   3.84086105e+00   1.00000000e+00 0.203306
 0.08002339  0.          2.75671029  1.         0.203307
 -8.02083395e-04   0.00000000e+00   2.44230738e+00   1.00000000e+00 0.203308
-0.08002623  0.          3.52651541  1.         0.203309
  8.04625825e-04   0.00000000e+00   3.84089549e+00   1.00000000e+00 0.20331
 0.08002905  0.          2.75662994  1.         0.203311
 -8.07320631e-04   0.00000000e+00   2.44227235e+00   1.00000000e+00 0.203312
-0.08003181  0.          3.52659544  1.         0.203313
  8.09994627e-04   0.00000000e+00   3.84093091e+00   1.00000000e+00 0.203314
 0.08003466  0.          2.75654967  1.         0.203315
 -8.12541902e-04   0.00000000e+00   2.44223753e+00   1.00000000e+00 0.203316
-0.08003742  0.          3.52667565  1.         0.203317
  8.15212070e-04   0.00000000e+00   3.84096572e+00   1.00000000e+00 0.203318
 0.08004023  0.          2.75646977  1.         0.203319
 -8.17715802e-04   0.00000000e+00   2.44220287e+00   1.00000000e+00 0.20332
-0.08004302  0.          3.52675599  1.         0.203321
  8.20454566e-04   0.00000000e+00   3.84100008e+00   1.00000000e+00 0.203322
 0.08004585  0.          2.75638892  1.         0.203323
 -8.22969901e-04   0.00000000e+00   2.44216772e+00   1.00000000e+00 0.203324
-0.08004864  0.          3.52683576  1.         0.203325
  8.25567533e-04   0.00000000e+00   3.84103497e+00   1.00000000e+00 0.203326
 0.08005148  0.          2.75630763  1.         0.203327
 -8.28147705e-04   0.00000000e+00   2.44213305e+00   1.00000000e+00 0.203328
-0.08005423  0.          3.52691618  1.         0.203329
  8.30730788e-04   0.00000000e+00   3.84106970e+00   1.00000000e+00 0.20333
 0.08005709  0.          2.7562278   1.         0.203331
 -8.33318379e-04   0.00000000e+00   2.44209812e+00   1.00000000e+00 0.203332
-0.08005989  0.          3.52699762  1.         0.203333
  8.36005231e-04   0.00000000e+00   3.84110439e+00   1.00000000e+00 0.203334
 0.0800626   0.          2.75614977  1.         0.203335
 -8.38654250e-04   0.00000000e+00   2.44206345e+00   1.00000000e+00 0.203336
